id;name;pronouns;area;area Label;power Level;color 1;color 2;color Animated?;signup Date;has donated;donated;coin;supporter End Date;boost End Date;is a Game Moderator;is Translator;is Supporter;is Boosted;runs ILs;runs FGs;runs;categories ILs;categories FGs;categories;games ILs;games FGs;games;platforms ILs;platforms FGs;platforms;wrs ILs;wrs FGs;wrs;podiums ILs;podiums FGs;podiums;obsoletes ILs;obsoletes FGs;obsoletes;Games with at least 1 wrs;categoriesMisc;levels
8l4r3zvj;MicRaNoob;He/Him;None;None;1;orange;white;0;1610986340;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
j5w5zrnj;r00t;;None;None;1;mint;mint;0;1603248785;False;0;0;0;0;False;False;False;False;0;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
68wkgzl8;pavichokche;;None;None;1;red;red;0;1444676268;False;0;0;0;0;True;False;False;False;7;20;27;2;7;9;1;6;7;1;2;3;0;7;7;2;8;10;2;12;14;5;0;2
5j545pn8;nhoit904;;None;None;1;blue;blue;0;1569920157;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
j5vm65n8;BoohooTheFool;He/Him;None;None;1;purple;white;0;1638576090;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
xkm2d69j;HennyWennyWuWu;He/Him;None;None;1;red;yellow;0;1633785326;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dx3r7kxl;YayodelaRiva;;None;None;1;white;white;0;1424054862;False;0;0;0;0;True;False;False;False;108;71;179;3;19;22;2;10;12;3;5;8;11;2;13;25;9;34;80;52;132;2;5;15
j5wem1wj;TheBeastRacer;;None;None;1;blue;blue;0;1594253654;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
qxkkpn7x;velliz_;;None;None;1;orange;orange;0;1539284845;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8gm9k3y8;Hamersff;;None;None;1;mint;None;0;1654498538;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8vk150ej;Eddwin;He/Him;None;None;1;azure;white;0;1621308739;False;0;2;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
j5wnp2nj;Runtime440;;None;None;1;azure;azure;0;1597237559;False;0;0;0;0;False;False;False;False;0;12;12;0;2;2;0;2;2;0;2;2;0;0;0;0;0;0;0;10;10;0;0;0
j2y93zn8;kaszal252153;;None;None;1;orange;orange;0;1600896286;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
