name;Platforms;URL;Categories
Blinx 2: Masters of Time and Space;"Xbox 360; Xbox";https://www.speedrun.com/blinx2;"Any% Co-op; All Medals Co-op; Co-op; Unlocked/NG+ Co-op"
Block Block;"Arcade; PlayStation 2; PlayStation Portable; Xbox; MiSTer";https://www.speedrun.com/block_block;"Beginner Course 2 Players; Normal Course 2 Players"
Block Strike;"Android; iOS";https://www.speedrun.com/block_strike;100%
Blood and Bacon;PC;https://www.speedrun.com/blood_and_bacon;"4 player NG; 4 player NG+; 2 player NG; 2 player NG+; 3 player NG; 3 player NG+; 2P; 3P; 4P"
Blood Bros;"Arcade; MiSTer";https://www.speedrun.com/blood_bros;Any% Co-Op 2 Players
Blood Will Tell: Tezuka Osamu's Dororo;"PlayStation 2; PlayStation 3";https://www.speedrun.com/blood_will_tell_tezuka_osamus_dororo;"Any%; All Fiends"
Bloodstained: Curse of the Moon 2;"PlayStation 4; Xbox One; PC; Switch";https://www.speedrun.com/bscotm2;"Episode 1 Co-op; Episode 2 Co-op; Episode EX Co-op; Final Episode Co-op; Boss Rush Co-op"
Bloody Trapland;PC;https://www.speedrun.com/bloody_trapland;"Any%; Any% No RNG; All Races; Single Normal Worlds (2P); Single Alternate Route Worlds (2P); Single Normal Worlds (3P/4P); Single Alternate Worlds (3P/4P)"
Bloody Trapland 2: Curiosity;PC;https://www.speedrun.com/bloody_trapland_2_curiosity;"Any%; 100%"
Bloons Tower Defense 5;"PlayStation 4; Xbox One; PC; Android; iOS; Web; Macintosh; Switch";https://www.speedrun.com/btd5;"Co-Op Easy; Co-Op Medium; Co-Op Hard; Co-Op Impoppable"
Bloons Tower Defense 6;"PC; Android; iOS";https://www.speedrun.com/btd6;"Co-op Easy; Co-op Medium; Co-op Hard; Co-op Impoppable; CHIMPS (Coop); Black Border% (Coop)"
Blue's Journey;"Arcade; Neo Geo AES; Neo Geo CD";https://www.speedrun.com/blues_journey_raguy;Arcade coop any %
Bob Was Hungry;PC;https://www.speedrun.com/bob;"Any% Co-op; Any% Co-op Shared Death"
BombSquad;"PC; Android; iOS; Macintosh; Linux";https://www.speedrun.com/bombsquad;"Any%; Easy Any%; Easy 100%; Hard Any%; Hard 100%"
Bonanza Bros. (Genesis);"Sega Genesis; PlayStation Portable";https://www.speedrun.com/bonanza_bros._genesis;Any% (co-op)
Boom Blox;Wii;https://www.speedrun.com/boom_blox;Co-Op Mode
Boom Blox Bash Party;"Wii U; Wii";https://www.speedrun.com/boombloxbp;"Training; Explore Mode; Showtime; Pirate; Space; Heroic"
Borderlands;"PlayStation 3; Xbox 360; Xbox One; PC";https://www.speedrun.com/bl1;"All Missions; Co-Op"
Borderlands 2;"PlayStation 3; Xbox 360; PlayStation Vita; PlayStation 4; Xbox One; PC; Switch; PlayStation 5; Xbox Series X";https://www.speedrun.com/bl2;"Co-Op; UVHM; UVHM Geared; All Quests; Current Patch; Any% Boosted"
