name;platforms;url;categories FG;levels;categories IL;total
3D Fantasy Zone II W;Nintendo 3DS, Arcade, PlayStation 2, New Nintendo 3DS, 2DS XL, 2DS;https://www.speedrun.com/3d_fantasy_zone_ii_w;4;0;0; 
3D Frog Frenzy;PC, Android, iOS, Macintosh, Linux;https://www.speedrun.com/3dfrog;21;22;132; 
3D Frog Man;PC;https://www.speedrun.com/3d_frog_man;1;0;0; 
3D Land Rebirth;Switch;https://www.speedrun.com/3d_land_rebirth;2;8;16; 
3D Mario Racing;Web;https://www.speedrun.com/3dmr;1;0;0; 
3D Maze Escape;Web, Macintosh;https://www.speedrun.com/mazeescaape;1;0;0; 
3D Maze Man: Adventures in Winter Wonderland;PC;https://www.speedrun.com/3d_maze_man_adventures_in_winter_wonderland;1;0;0; 
3D Maze Man: Amazing Adventures;PC;https://www.speedrun.com/3d_maze_man_amazing_adventures;1;0;0; 
3D Minesweeper in Minecraft!;PC;https://www.speedrun.com/3d_minesweeper_in_minecraft;3;0;0; 
3D Monster Maze;;https://www.speedrun.com/3d_monster_maze;4;0;0; 
3D Ms. Maze: Tropical Adventures;PC;https://www.speedrun.com/3d_ms_maze_tropical_adventures;1;0;0; 
3D Munch Man II;PC;https://www.speedrun.com/3d_munch_man_ii;1;0;0; 
3D Pinball for Windows: Space Cadet;PC;https://www.speedrun.com/3pwsc;5;0;0; 
3D platformer;PC;https://www.speedrun.com/3dplatformer;24;5;90; 
3D Retro Dungeon Puzzle Challenge;New Nintendo 3DS;https://www.speedrun.com/3drdpc;1;11;11; 
3D Rotation Platformer;PC, Web;https://www.speedrun.com/spidertest_rotate2;2;10;10; 
3D Stress Ball;PC, Macintosh;https://www.speedrun.com/3d_stress_ball;7;0;0; 
3D Tetris;Virtual Boy;https://www.speedrun.com/3d_tetris;1;0;0; 
3D Ultra Minigolf;PC;https://www.speedrun.com/3d_ultra_minigolf;8;0;0; 
3D Ultra Minigolf Adventures;PlayStation 3, Xbox 360, PC;https://www.speedrun.com/3duma;5;0;0; 
3D Ultra NASCAR Pinball;PC;https://www.speedrun.com/3d_ultra_nascar_pinball;4;0;0; 
3D Ultra Pinball;PC;https://www.speedrun.com/3d_ultra_pinball;3;0;0; 
